"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"Misc.Ret.Yard",-0.00938132615867323,0.0775129417440569,-0.0291087421816225,-0.103621805316581,-0.109901980159344,0.0934622483407054,0.428469271159352,-0.171569219889522,-0.178009962590515,-0.176737611340532,0.129362747365066,0.250418126618082,-0.156387387020038,0.0879505851984936,-0.303651827773621,0.0975113967611847,0.278718012727972,-0.0107172072471266,-0.0399798815387048,-0.277958169579215,0.170507082678138,0.0563193298886808,-0.0933938360097226,-0.291710209788949,0.0235422976054949,-0.42413474146629,-0.0725778797695558,0.0218745173933795,-0.0233642703603748,0.0152122379887859,-0.0389766984469741,0.0114101919135643,-0.0212087201383456,0.0137586942091146,0.0017359446567214,-0.014140489615324,0.00355530065406517,-0.00259093301888984,0.00249219011426791,0.00246578719493395
"Field.Goal.Made",0.162053501122615,0.0872768135869774,-0.204411909081476,0.0929175599731925,0.000199438874473268,0.0914905443040773,-0.143435839743775,-0.179907227555579,0.009189565053209,-0.0370427673348725,0.0681993613524069,-0.221668810477766,-0.135630273076382,-0.287362606482828,0.0152077327690836,-0.261153852538357,0.0496127322804012,0.012088577611507,-0.117230113654463,-0.216440718215073,0.0591880406609285,-0.120185796359013,0.418487802001968,-0.362715576003193,0.144399864488063,0.18688904359918,-0.261918217660068,0.112917747458947,-0.154283484799057,0.0682778588804583,0.0306588888643529,-0.0203589558488117,0.0924370489387764,0.0327984736541753,-0.0334442400166119,-0.0362253694875474,0.108027332566865,-0.100062198924309,-0.19925383969679,-0.0389487818811391
"Off.XP.Kick.Made",0.329660273766446,-0.00625793265773259,0.167466669329621,0.0592908065641873,-0.0174267932523272,-0.141579058336565,0.120516679152752,-0.0357010985326968,0.0538811643926651,0.019685355523869,-0.0425538866377284,0.029359561314498,0.0439133409008431,0.038578009044504,-0.0185591950493312,0.0470635326565043,-0.00215928265520283,-0.0180511362481968,0.0826960733014108,0.00737609227024848,0.012109278284784,0.0250115856251629,-0.0471391463753529,0.129004541157366,-0.0317055826268536,-0.0436479277306916,0.0326458328676434,-0.185936746549265,0.0204784643187848,0.232737080776396,0.194353824953095,0.132504770115503,0.162750723580558,0.0995680608988467,0.0535225013069143,-0.317025905718,0.00760508271915764,0.177774186718654,-0.620140788656282,-0.283380411732546
"Off.2XP.Made",0.0638070271813914,-0.0732503344687565,0.211106858608259,-0.331262386527218,-0.2951165360301,0.0315619144981591,-0.377929591112064,0.0272328740929979,-0.171438439338882,-0.159599492210198,0.0305483637770414,-0.0244074694323833,-0.0681796527856577,0.0318969494217636,0.0556673934595616,0.0443723492286862,-0.0397612729621386,-0.109626727518531,-0.0317669212504755,-0.0315415740482708,0.0203081339180538,0.0142709912883519,0.0218493125969357,-0.0351295467805413,0.0502172574121016,-0.0375256451447058,0.0296951447832255,-0.0242800306545032,-0.0543690352057226,0.0629741583599439,-0.475967790364782,0.505349504817088,0.00782701550560722,-0.129857445172694,-0.0613240764779372,-0.0377589457853837,0.00491559208685424,0.0107858520805968,-0.0535734817341991,-0.0132633169261147
"Def.2XP.Made",0.0197513623346032,0.0494147448469222,0.0151030630332223,0.049447472954671,-0.120924928816282,-0.00887454185328301,0.27936301716012,-0.165611022096964,-0.0235527102606185,-0.37073151147485,0.0936599056112036,-0.0697281496936368,0.251881537181628,0.311227049895426,0.450267400619954,-0.120036164541046,-0.421179589629324,0.122281923240636,0.00151364312360158,0.0566745754805029,-0.266265000669428,0.0260895976477615,-0.000953233089185341,-0.188673522004289,0.0863952235014926,-0.112206234638506,-0.110710279104864,0.0466488299811539,-0.0804270287379635,-0.017975885911808,0.00517429652147204,0.00611973335027435,-0.0154606556324852,0.0142852930965388,-0.0209830393502326,-0.00625209229156029,-0.0067614568081745,-0.00696686463399282,0.0111467969332129,-0.00399950668156002
"Safety",0.0506954955033549,0.07065230403285,-0.108957773317246,-0.0437200950479047,0.019968134646423,0.102561300017885,-0.106591663061815,0.250936419245789,0.112901758972489,-0.177663764913289,-0.20679434197638,0.21674336777788,0.106666644695886,0.271276311307169,0.0307372635972414,-0.60762280065184,0.383382155181629,-0.074544793344103,0.212874872262824,-0.198234272630354,-0.164821324795196,0.131817400725117,-0.034033648131676,0.121713734821353,0.0119388504951399,0.0277586696386791,-0.0218213951615343,-0.00366746145243782,-0.037995770360526,-0.0192106800810111,0.00552429661867523,0.0159067815086661,0.029033502681773,0.0131598061033998,-0.0430119955112854,0.00635409119609698,0.000437686229843276,-0.00941274156099672,-0.00759484439628117,-0.0041418409612542
"Punt.Yard",-0.247315554627594,0.137385343783712,-0.185914846644012,-0.088913053391503,0.0868352364904207,0.179664693807353,-0.0716264926021926,-0.17760161331136,0.159547417263643,-0.0869745760591663,0.0621738038744141,-0.0483163665865179,-0.11678071470197,0.100893767147119,0.0435876097496715,0.134417097579279,0.00317972065155299,-0.0335815662841302,0.0822068265300615,0.0795392659892325,-0.0181615081401013,0.163989904882295,-0.0118721273280096,0.194274997572168,-0.0422170009847927,-0.0390171879014437,-0.125580231001113,-0.274663058466196,0.012057881694484,0.560126744529195,0.0144620408394532,-0.00638586289340793,-0.0243041573467207,-0.0106096511188473,-0.0857413424840849,-0.0267604922629786,0.325597037723193,-0.33694234836628,0.0158294998544934,0.0380406978646586
"Kickoff.Yard",0.354326119019198,0.0229232324003026,0.0760897727126396,0.0519396227693557,-0.0394192654804032,-0.106657343863626,0.00773051144644646,-0.0925712598723907,0.0384016905234067,0.00809845937024094,-0.0122454934842411,-0.00378960197392771,-0.0133216330871691,-0.0273265782245789,-0.0286840910396274,-0.0353617293720983,0.0383123275107308,0.0315183638933804,0.0499258472229597,0.0165981194019183,0.0205961207232685,-0.0101674868351356,0.0853763778309369,-0.0219764401459649,0.0111890118286593,0.016671790753619,-0.0738627843949076,-0.206994394137447,0.0155809651655514,0.139743973373005,0.151901046491106,0.20127183946023,0.200198580969043,0.161710788177988,0.0473236277814981,-0.324925724671253,-0.00455098303202419,0.112436181575368,0.711640171931692,0.021186267057617
"Kickoff.Touchback",0.18483497249365,0.0306653247416643,0.0346261007380464,0.0818149517129549,0.106291800244371,0.0879290619511518,-0.163575662998,-0.379505694012501,-0.110350021544457,0.142275496708974,0.0534843294109087,0.327833147184407,-0.123673385097095,-0.00470461959062304,0.049181509601024,-0.0337400801680499,0.0600211087570087,0.0108146586341797,0.00446225612329849,0.243309525507798,-0.238758114068531,0.378258461114131,-0.00747771907906692,-0.243739347463225,-0.194679331851303,0.135902475581516,-0.0765870230848246,-0.306308987195721,0.152541611049079,-0.258742325267387,-0.0962830606030275,-0.0527636336959166,-0.0808759869802868,-0.0630225495257176,0.047211949750356,0.0780715766340097,-0.018634991639837,-0.00474724840397091,-0.0744001408975263,-0.000991094323151337
"Kickoff.Out.Of.Bounds",0.0284793858247573,0.00973650900965955,0.0514780121761913,-0.0406153078017918,-0.0256306283660844,-0.130062167232657,0.316060996302133,0.389431871437308,0.0462237329459631,-0.0521899341787878,-0.0119220184557229,-0.204438746398147,-0.407310144002777,-0.127714195046812,0.247998672659818,0.0457223144932395,0.00496241015734412,-0.389370667546939,-0.1318268974449,-0.0405075099884449,-0.0492027353996085,0.447272688544814,-0.0775552524883448,-0.0730651302975092,-0.03034386627432,0.1548995854456,-0.128268767006025,0.011290423124887,0.0458734049982574,-0.0276008744706505,0.00765772882964895,-0.00458948030038482,0.0407019549431315,-0.0343146933973687,0.0106729487527971,-0.00724379938319281,0.0136718349947493,0.00238111520515799,0.0307124682801387,0.00281702620108031
